;;;;;Energia;Macronutrientes;;;A.G. Saturados;A.G. Insaturados;;;Fibra   ;;;Macrominerales;;;;;Oligoelementos;;;;;Vit. Liposolubles;;;;Vit. Hidrosolubles;;;;;;;;Verificacion;;;;;;;
FR38;221;Melon amarillo pulpa;85;1 rodaja mediana;30;7,14;0,77;0,26;0,06;0,01;0,09;0;0,17;0,17;0,34;9,35;14,45;7,65;262,65;9,35;0,17;0,14;0,03;0,04;0,34;0,13;0;0;273,7;0,03;0,02;0,51;0,11;0,1;14,45;0;35,7;;;;;;;;
FR39;222;Moras pulpa;60;6 unidades;30;7,68;0,42;0,24;0,01;0,02;0,13;0;0;0;3,18;19,2;12,6;0;117,6;12;0,36;0,16;0,08;0,77;0,36;0,43;0;0;9,6;0,02;0,02;0,24;0,14;0,04;20,4;0;12,6;;;;;;;;
FR40;223;Moras castilla pulpa sin semilla;130;1/2 pocillo;30;7,28;0,78;0,13;0;0;0;0;0;0;0;54,6;13;0;0;0;2,21;0;0;0;0,78;0,92;0;0;0;0,03;0,07;0,39;10,4;0;0;0;10,4;;;;;;;;
FR41;224;Naranjas pulpa todas las variedades;65;1/2 unidad;30;7,67;0,59;0,07;0,01;0,01;0,02;0;0,91;0,46;1,37;26;9,1;0;117,65;6,5;0,07;0,05;0,03;0,02;0,33;0,16;0,88;0;13,65;0,06;0,03;0,18;0,16;0,04;19,5;0;34,45;;;;;;;;
FR42;225;Naranjas jugo;70;2 y 1/2 onzas;30;7,28;0,49;0,14;0,01;0,03;0,03;0;0;0;0,14;7,7;11,9;0,7;140;7,7;0,14;0,04;0,03;0,01;0,07;0,06;0,03;0;14;0,06;0,02;0,28;0,13;0,03;21;0;35;;;;;;;;
FR43;226;Naranjas jugo enlatado sin dulce;70;2 y 1/2 onzas;30;6,93;0,42;0,07;0,01;0,02;0,02;0;0;0;0,14;5,6;9,8;1,4;122,5;7,7;0,28;0,05;0,04;0,01;0,07;0,06;0;0;12,6;0,04;0,02;0,22;0,11;0,06;12,6;0;23,8;;;;;;;;
FR44;227;Nispero pulpa sin semillas;35;1 unidad pequeña;30;7,7;0,18;0,39;0,07;0,18;0;0;0;0;1,86;4,9;2,8;4,2;67,55;4,2;0,11;0,04;0,03;0;0,21;0,09;0;0;2,1;0;0,01;0,11;0,09;0,01;4,9;0;1,75;;;;;;;;
FR45;228;Papaya pulpa sin semillas;75;1 rebanada delgada;30;7,35;0,45;0,08;0,03;0,03;0,02;0;0;0;1,35;18;3,75;2,25;192,75;7,5;0,08;0,05;0,02;0,01;0,45;0,84;0;0;21;0,02;0,02;0,26;0,17;0,02;28,5;0;46,5;;;;;;;;
FR46;229;Papayuela pulpa sin semillas;190;2 y 1/2 unidades;30;7,41;1,33;0,19;0;0;0;0;0;0;0;19;20,9;0;0;0;0,57;0;0;0;0;0;0;0;19;0,04;0,06;1,14;0;0;0;0;133;;;;;;;;
FR47;230;Pera con cascara;50;1/2 unidad;30;7,55;0,2;0,2;0,01;0,04;0,05;0;0,2;1,2;1,4;5,5;5,5;0;62,5;3;0,15;0,06;0,06;0,04;0,5;0,25;0;0;1;0,01;0,02;0,05;0,04;0,01;3,5;0;2;;;;;;;;
FR48;231;Piña pulpa sin corazon;60;1 trozo pequeño;30;7,44;0,24;0,24;0,02;0,03;0,09;0;0,06;0,66;0,72;4,2;4,2;0,6;67,8;8,4;0,24;0,05;0,07;0,99;0,36;0,06;0;0;1,2;0,05;0,02;0,25;0,1;0,05;6,6;0;9;;;;;;;;
FR49;232;Piña jugo;55;2 onzas;30;7,15;0,17;0,06;0;0;0;0;0;0;0;8,25;4,4;0;0;0;0,28;0;0;0;0,06;0,01;0;0;4,4;0,03;0,01;0,11;0;0;0;0;4,95;;;;;;;;
FR50;233;Pitahaya amarilla, pulpa sin semillas;60;1 unidad;30;7,92;0,24;0,06;0;0;0;0;0;0;1,26;6;9,6;0;0;0;0,18;0;0;0;0;0;0;0;0;0,02;0,02;0,12;0;0;0;0;2,4;;;;;;;;
FR51;234;Pomelo;80;1/2 unidad;30;7,68;0,64;0;0;0;0;0;0,72;0,32;1,04;3,2;13,6;0,8;172,8;4,8;0,08;0,06;0,04;0,02;0;0;0;0;0;0,02;0,02;0,18;0;0,03;0;0;48,8;;;;;;;;
FR52;235;Sandia o patilla pulpa;95;1 tajada;30;6,84;0,57;0,38;0,05;0,1;0,14;0;0,1;0,29;0,38;7,6;8,55;1,9;110,2;10,45;0,19;0,07;0,03;0,04;0,1;0,14;0;0;35,15;0,08;0,02;0,19;0,2;0,13;1,9;0;9,5;;;;;;;;
FR53;236;Tamarindo pulpa concentrada;10;1 cucharada;30;6,13;0,54;0,05;0,03;0,02;0,01;0;0;0;0,51;8,1;8,6;2,8;62,8;9,2;0,11;0,02;0,01;0;0,13;0,07;0;0;0,3;0,02;0,02;0,25;0,01;0,1;1,4;0;2;;;;;;;;
FR54;237;Tomate de arbol pulpa sin semillas;100;1 unidad grande;30;7;1,4;0,1;0;0;0;0;0;0;0;6;22;0;0;0;0,4;0;0;0;0;0;0;0;100;0,05;0,03;1,1;0;0;0;0;25;;;;;;;;
FR55;238;Toronja pulpa;95;1/4 unidad;30;7,7;0,57;0,1;0,01;0,01;0,02;0;0;0;1,05;11,4;7,6;0;132,05;7,6;0,1;0,07;0,05;0,01;1,33;0,24;0;0;11,4;0,04;0,02;0,29;0,27;0,04;9,5;0;32,3;;;;;;;;
FR56;239;Toronja jugo;75;2 y 1/2 onzas;30;6,9;0,38;0,08;0,01;0,01;0,02;0;0;0;0,08;6,75;11,25;0,75;121,5;9;0,15;0,04;0,02;0,02;0,08;0,04;0,02;0;0,75;0,03;0,02;0,15;0,14;0,03;7,5;0;28,5;;;;;;;;
FR57;240;Uchuvas;40;7 unidades;30;7,84;0,04;0,08;0;0;0;0;0;0;0;3,2;22;0;0;0;0,48;0;0;0;0;0;0;0;105,2;0,04;0,01;0,68;0;0;0;0;17,2;;;;;;;;
FR58;241;Uva verde con cascara;95;9 unidades;30;7,7;0,48;0;0;0;0;0;0;0;0,48;5,7;19;0;0;0;0,38;0;0;0;0;0;0;0;0;0,03;0,01;0,1;0;0;0;0;4,75;;;;;;;;
FR59;242;Una negra pulpa;85;18 unidades;30;8,16;0,34;0;0;0;0;0;0;0;0;6,8;8,5;0;0;0;0,34;0;0;0;0;0;0;0;0;0,03;0,01;0,09;0;0;0;0;6,8;;;;;;;;
FR60;243;Uva americana sin cascara;45;8 unidades;30;7,74;0,27;0,18;0,05;0;0,05;0;0;0;0,59;6,3;4,5;0,9;85,95;2,25;0,14;0,02;0,02;0,32;0,09;0,15;0;0;4,5;0,04;0,03;0,14;0,01;0,05;1,8;0;1,8;;;;;;;;
FR61;244;Uva tipo europeo roja o verde, con cascara;40;8 unidades;30;7,12;0,28;0,24;0,08;0,01;0,07;0;0;0;0,4;4,4;5,2;0,8;74;2,4;0,12;0,02;0,04;0,02;0,08;0,28;0;0;2,8;0,04;0,02;0,12;0,01;0,04;1,6;0;4,4;;;;;;;;
FR62;245;Zapote pulpa;60;1/2 unidad pequeña;30;7,44;0,66;0,06;0,02;0;0;0;0;0;0,78;15;19,2;0;0;0;0,84;0;0;0;0;0;0;0;60;0,03;0,05;0,24;0;0;0;0;12;;;;;;;;
;;;;Promedio;30;7,67;0,54;0,16;0,02;0,02;0,04;0,00;0,14;0,14;0,94;10,85;12,04;0,95;73,52;4,45;0,32;0,04;0,03;0,06;0,17;0,14;0,27;0,00;29,94;0,03;0,03;0,42;0,23;0,04;5,14;0,00;28,18;;;;;;;;
CER1;246;Arroz blanco pulido;30;3 cucharadas soperas;108;23,64;2,34;0,12;0;0;0;0;0;0;0,39;2,7;42;1,5;27,6;7,2;0,24;0,39;0,06;0;0;0;0;0;0;0,02;0,01;0,39;0,17;0,05;3;0;0;Aprobado;;;;;;;
CER2;247;Arroz blanco grano mediano enriquecido;30;3 cucharadas soperas;108;23,79;1,98;0,18;0,05;0,05;0,05;0;0;0;0,42;2,7;32,4;0,3;25,8;10,5;1,32;0,35;0,03;0,33;0;0;0;0;0;0,17;0,02;1,53;0,4;0,05;69,3;0;0;;;;;;;;
CER3;248;Arroz integral grano mediano;30;3 cucharadas soperas;108;22,86;2,25;0,81;0,16;0,29;0,29;0;0;0;1,02;9,9;79,2;1,2;80,4;42,9;0,54;0,61;0,08;1,12;0;0,2;0;0;0;0,12;0,01;1,29;0,45;0,15;6;0;0;;;;;;;;
CER4;249;Avena nacional hojuelas;30;4 cucharadas rasas;108;24;4,5;3;0;0;0;0;1,5;4,5;6;11;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
CER5;250;Avena en hojuelas, instantanea sin fortificar;35;3 cucharadas;108;23,45;5,6;2,21;0,39;0,69;0,81;0;0;0;3,82;18,2;165,9;1,4;122,5;51,8;1,47;1,07;0,12;1,27;11,9;0,25;22,05;0;3,5;0,26;0,05;0,28;0,44;0,04;11,2;0;0;;;;;;;;
CER6;251;Avena en hojuelas, instantanea fortificada;30;3 cucharadas;108;19,2;4,65;1,83;0,32;0,58;0,67;0;0;0;3,27;172,8;140,4;303;106,2;44,4;6,69;0,92;0,1;1,09;0;0;0;0;481,2;0,56;0,31;5,82;0,38;0,78;85,8;0;0;;;;;;;;
CER7;252;Cebada perlada;30;3 cucharadas;108;23,31;2,97;0,36;0,07;0,05;0,17;0;0;0;4,68;8,7;66,3;2,7;84;23,7;0,75;0,64;0,13;0,4;11,31;0,04;0;0;0,6;0,06;0,03;1,38;0,08;0,08;6,9;0;0;;;;;;;;
CER8;253;Cebada ;30;3 cucharadas;108;22,05;3,75;0,69;0,14;0,09;0,33;0;0;0;5,19;9,9;79,2;3,6;1,36;39,9;1,08;0,83;0,15;0,58;0;0;0;0;0,6;0,2;0,09;1,38;0,08;0,1;5,7;0;0;;;;;;;;
CER9;254;Centeno;30;3 cucharadas;108;20,94;4,44;0,75;0,09;0,09;0,34;0;0;0;4,38;9,9;112,2;1,8;79,2;36,3;0,81;1,12;0,14;0,8;10,59;0,56;0;0;0;0,1;0,08;1,29;0,44;0,09;18;0;0;;;;;;;;
CER10;255;Maiz amarillo grano entero;30;3 cucharadas;108;22,29;2,82;1,41;0,2;0,38;0,65;0;0;0;0;2,1;63;10,5;86,1;38,1;0,81;0,66;0,09;0,15;4,65;0,23;0;0;14,1;0,12;0,06;1,08;0,13;0,19;5,7;0;0;;;;;;;;
CER11;256;Maiz amarillo trillado;30;3 cucharadas;108;23,19;2,52;0,36;0;0;0;0;0;0;0;1,5;29,7;0;0;0;0,36;0;0;0;0;0;0;0;9;0,05;0,02;0,02;0;0;0;0;0;;;;;;;;
CER12;257;Maiz blanco grano entero;30;3 cucharadas;108;22,29;2,82;1,41;0,2;0,38;0,65;0;0;0;0;2,1;63;10,5;86,1;38,1;0,81;0,66;0,09;0,15;0;0;0;0;0;0,12;0,06;1,08;0,13;0,19;5,7;0;0;;;;;;;;
CER13;258;Maiz blanco trillado;30;3 cucharadas;108;22,38;2,61;0,27;0,04;0,07;0,12;0;0;0;0;1,2;21,3;0;0;0;0,33;0;0;0;0;0;0;0;0;0,06;0,01;0,33;0;0;0;0;0;;;;;;;;
CER14;259;Trigo blando grano entero;30;3 cucharadas;108;22,62;3,21;0,6;0,11;0,07;0,25;0;0;0;3,81;10,2;120,6;0,6;130,5;27;1,62;1,04;0,13;1,02;0;0;6;0;0;0,12;0,03;1,44;0,26;0,11;12,3;0;0;;;;;;;;
CER15;260;Quinua;30;3 cucharadas;108;20,67;3,93;1,74;0,18;0,46;0,71;0;0;0;1,77;18;123;6,3;222;63;2,79;0,99;0,25;0,68;0;0;0;0;0;0,06;0,12;0,87;0,32;0,07;14,7;0;0;;;;;;;;
CER16;261;Maiz pira grano entero;30;1/2 pocillo tintero;108;21,54;2,61;1,14;0;0;0;0;1,2;0,36;0,84;3,6;73,5;0;0;0;0,72;0;0;0;0;0;0;0;0;0,12;0,03;0,54;0;0;0;0;0,3;;;;;;;;
CER17;262;Almidon de maiz (maicena);30;2 cucharadas rasas;108;27,39;0,09;0,03;0;0,01;0,01;0;0;0;0,27;0,6;3,9;2,7;0,9;0,9;0,15;0,02;0,02;0,02;0,84;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
CER18;263;Arepa redonda de maiz blanco trillado;60;1 unidad pequeña;108;22,38;2,46;0,3;0;0;0;0;0;0;0;1,8;15;0;0;0;0,48;0;0;0;0;0;0;0;0;0,02;0,01;0,06;0;0;0;0;0;;;;;;;;
CER19;264;Arepa delgada de maiz blanco trillado;60;1 unidad pequeña;108;24,12;2,28;0,36;0;0;0;0;0;0;0;1,8;19,2;0;0;0;0,48;0;0;0;0;0;0;0;0;0,02;0,01;0,12;0;0;0;0;0;;;;;;;;
CER20;265;Cuchuco de cebada;30;1 y 1/2 cucharada;108;23,34;2,7;0,21;0;0;0;0;0;0;0;10,8;144;0;0;0;0,51;0;0;0;0;0;0;0;0;0,08;0,02;1,44;0;0;0;0;0;;;;;;;;
CER21;266;Cuchuco de trigo ;35;2 cucharadas;108;24,71;4,8;0,42;0;0;0;0;0;0;0;17,5;115,5;0;0;0;1,51;0;0;0;0;0;0;0;0;0,34;0,07;0,88;0;0;0;0;0;;;;;;;;
CER22;267;Espaguettis y macarrones;30;1/4 de paquete (125 g);108;22,56;3,75;0,36;0;0;0;0;0;0;0;8,1;48,6;0,6;59,1;14,4;0,39;0,45;0,03;0;18,66;0,05;0;0;0;0,03;0,02;0,51;0;0,02;3,6;0;0;;;;;;;;
CER23;268;Espaguettis enriquecidos;30;1/4 de paquete (125 g);108;22,41;3,84;0,48;0,07;0,06;0,2;0;0;0;0,72;5,4;45;2,1;48,6;14,4;1,17;0,36;0,08;0,21;0;0;0;0;0;0,31;0,13;2,25;0,13;0,03;69,3;0;0;;;;;;;;
CER24;269;Harina de arroz integral;30;1 y 1/2 cucharada;108;22,95;2,16;0,84;0,17;0,3;0,3;0;0;0;1,38;3,3;101,1;2,4;86,7;33,6;0,6;0,74;0,07;1,2;0;0;0;0;0;0,13;0,02;1,89;0,48;0,22;4,8;0;0;;;;;;;;
CER25;270;Harina de arroz blanco;30;3 cucharadas;108;24,03;1,8;0,42;0,12;0,13;0,11;0;0;0;0,72;3;29,4;0;22,8;10,5;0,12;0,24;0,04;0,36;4,53;0,04;0;0;0;0,04;0,01;0,78;0,25;0,13;1,2;0;0;;;;;;;;
CER26;271;Harina de maiz amarillo trillado;35;3 y 1/2 cucharadas;108;25,17;3,19;1,3;0,14;0,32;0,71;0;0;0;0;6,3;96,6;0,35;42;16,45;0,95;0,28;0,04;0;0;0;0;0;17,5;0,11;0,05;0,74;0;0;2,45;0;0;;;;;;;;
CER27;272;Harina de maiz blanco trillado;35;3 y 1/2 cucharadas;108;25,17;3,19;1,3;0;0;0;0;0;0;0;6,3;86,8;0;0;0;0,95;0;0;0;0;0;0;0;0;0,11;0,04;0,63;0;0;0;0;0;;;;;;;;
CER28;273;Harina de trigo de primera 80% del grano;30;1 cucharada;108;22,53;3,12;0,15;0;0;0;0;0;0;0;9;42;0;0;0;0,81;0;0;0;0;0;0;0;0;0,05;0,02;0,24;0;0;0;0;0;;;;;;;;
CER29;274;Harina de trigo nacional;30;3 cucharadas rasas;108;21,96;3,54;0,3;0;0;0;0;0;0;0;15,6;51;0;0;0;0,84;0;0;0;0;0;0;0;0;0,16;0,08;0;0;0;0;0;0;;;;;;;;
CER30;275;Harina de trigo enriquecida blanqueada;30;4 cucharadas;108;22,89;3,09;0,3;0,05;0,03;0,09;0;0;0;0,81;4,5;32,4;0,6;32,1;6,6;1,38;0,21;0,04;0,2;10,17;0,02;0,15;0;0;0,24;0,15;1,77;0,13;0,01;46,2;0;0;;;;;;;;
CER31;276;Harina de trigo integral;30;3 y 1/2 cucharadas;108;21,78;4,11;0,57;0,1;0,07;0,23;0;0;0;3,66;10,2;103,8;1,5;121,5;41,4;1,17;0,88;0,11;1,14;21,21;0,37;0,33;0;0;0,14;0,07;1,92;0,3;0,1;13,2;0;0;;;;;;;;
CER32;277;Pastas alimenticias;30;1/4 de paquete (125 g);108;22,08;3,21;0,12;0;0;0;0;0;0;0;7,5;36;0;0;0;1,11;0;0;0;0;0;0;0;0;0,04;0,01;0,21;0;0;0;0;0;;;;;;;;
CER33;278;Pastas alimenticias enriquecidas;30;1/4 de paquete (125 g);108;22,08;3,21;0,12;0;0;0;28,5;0;0;0;7,5;36;0;0;0;1,17;0;0;0;0;0;0;0;0;0,11;0,07;0,81;0;0;0;0;0;;;;;;;;
CER34;279;Pastas con huevo para sopa;30;1/4 de paquete (125 g);108;21,33;4,2;1,26;0,27;0,37;0,35;0;0;0;0,33;9,3;64,2;6,3;70,2;18;1,35;0,48;0,09;0,22;17,76;0,05;0;0;5,4;0,32;0,14;2,4;0,21;0,04;69,3;0,12;0;;;;;;;;
CER35;280;Salvado de trigo;50; 5 cucharadas colmadas;108;32,25;7,8;2,15;0,32;0,32;1,11;0;0;0;21,4;36,5;506,5;1;591;305,5;5,3;3,64;0,5;5,75;38,8;1,16;41,5;0;0;0,26;0,29;6,8;1,09;0,65;39,5;0;0;;;;;;;;
CER36;281;Taco vacio horneado;25;n.n;108;15,6;1,8;5,65;0,81;2,23;2,12;0;0;0;1,88;40;62;91,75;44,75;26,25;0,63;0,35;0,03;0,11;0;0;0;0;0;0,06;0,01;0,35;0,12;0,08;26,25;0;0;;;;;;;;
CER37;282;Tortillas de maiz;50;1 y 1/2 unidad;108;23,3;2,85;1,25;0,17;0,33;0,56;0;0;0;2,6;87,5;157;80,5;77;32,5;0,7;0,47;0,08;0,2;0;0;0;0;0;0,06;0,04;0,75;0,1;0,11;57;0;0;;;;;;;;
CER38;283;Germen de trigo tostado;30;1 onza;108;14,88;8,73;3,21;0,55;0,45;1,99;0;0;0;3,87;13,5;343,8;1,2;284,1;96;2,73;5;0,19;5,99;19,5;5,44;11,7;0;0;0,5;0,25;1,68;0,42;0,29;105,6;0;1,8;;;;;;;;
CER39;284;Cornflakes;30;3/4 de taza;108;25,83;2,43;0,09;0;0;0;0;0;0;0;0,9;18,9;371,4;27,6;3,6;1,89;0,08;0,02;0;1,53;0,04;0;42;397,2;0,39;0,45;5,28;0,05;0,54;105,9;0;15,9;;;;;;;;
CER40;285;Kelloggs all bran;40;6 cucharadas;108;30,36;4,88;1,24;0,28;0,24;0,72;0;0;0;12,92;141,2;392;81,2;455,6;171,6;6;5;0,48;3,66;3,76;0,74;0;56;300,4;0,52;0,56;6,68;0,69;0,68;120;2;20;;;;;;;;
CER41;286;Kelloggs corn pops;30;5 cucharadas  ;108;27,51;1,11;0,18;0,06;0,06;0,03;0;0;0;0,42;2,4;6,3;119,1;21,9;2,4;1,8;1,5;0,03;0,07;1,95;0,03;0;0;225,3;0,39;0,42;5,01;0,09;0,51;105,9;0;15;;;;;;;;
CER42;287;Kelloggs honey crunch corn flakes;30;4 cucharadas;108;25,56;1,89;0,87;0,09;0,51;0,27;0;0;0;0,66;4,2;16,2;216;30,6;7,2;1,8;0,18;0,03;0,05;1,53;0,61;0;0;225,3;0,39;0,42;5,01;0,07;0,51;90;0;15;;;;;;;;
CER43;288;Kelloggs mueslix apple almond crunch;30;4 cucharadas;108;22,29;2,94;2,7;0,57;1,41;0,57;0;0;0;2,55;18,3;95,7;147,3;114;34,2;2,55;1,71;0,03;0,71;5,19;3,15;0;0;127,5;0,21;0,24;2,82;1,14;0,27;60;0,69;0;;;;;;;;
CER44;289;Kelloggs rice krispies;30;4 cucharadas;108;25,95;1,89;0,33;0,12;0,09;0,15;0;0;0;0,33;3;39,6;321,6;38,4;14,4;1,8;0,54;0,06;0,32;4,62;0,04;0;42;225,3;0,39;0,42;6,78;0;0,69;90;0;14,4;;;;;;;;
CER45;290;Kelloggs special k;30;4 cucharadas;108;21,72;6,15;0,27;0;0;0,21;0;0;0;0,93;4,5;49,2;241,8;52,8;17,1;8,43;3,63;0,03;0,83;16,47;0,08;0;42;217,8;0,21;0,57;6,78;0;0,69;90;0;14,4;;;;;;;;
CER46;291;Quaker 100% natural con avena miel pasas;25;1 onza;108;17,58;2,38;3,58;1,57;1,56;0,4;0,25;0;0;1,8;19;73,5;5,5;104,75;23,5;0,83;0,53;0,14;0,59;4,33;0,25;0;0;0,25;0,07;0,04;0,38;0,14;0,04;5,75;0,03;0,25;;;;;;;;
CER47;292;Quaker oat bran cereal;30;1 onza;108;21,78;4,5;1,56;0,29;0,51;0,64;0;0;0;3,15;15,9;161,1;108;135,3;52,2;8,4;2,05;0,09;1,19;9,15;1,1;0;0;81,9;0,2;0,23;2,73;0,26;0,27;54,6;0;3,3;;;;;;;;
CER48;293;Quaker honey graham ohls;25;1 onza;108;21,05;1,25;1,78;0,51;0,99;0,26;0;0;0;0,65;11,5;38,75;164,75;41,75;11,75;4,18;3,48;0,04;0,17;2,13;0,1;0;0;279;0,35;0,4;4,65;0,08;0,46;93;0;11,25;;;;;;;;
CER49;294;Granola;20;1/2 pocillo o 3 cucharadas;108;11,04;2,46;5,44;0,96;1,54;2,82;0;0;0;2,1;12,4;81;2;100,4;23,2;0,8;0,73;0,11;0;0;0;0;0;0;0,12;0,05;0,36;0,12;0,07;16,2;0;0,2;;;;;;;;
CER50;295;Granola (con avena tostada);25;1/2 pocillo o 3 cucharadas;108;16,7;2,55;4,35;2,88;0,65;0,61;0;0;0;0,75;15,75;78,25;51,5;86;25,5;0,83;0,49;0,08;0;0;0;0;0;0;0,09;0,04;0,18;0,21;0;18,75;0;0;;;;;;;;
CER51;296;Kelloggs choco krispies;30;5 cucharadas;108;26,37;1,5;0,78;0,57;0,09;0,12;0;0;0;0,39;3,9;28,5;203,4;58,2;11,1;1,74;1,44;0,06;0,7;0;0;0;0;217,8;0,36;0,42;4,83;0,27;0,48;90;0;14,4;;;;;;;;
CER52;297;Zucaritas de Kelloggs;30;5 cucharadas;108;27,15;1,5;0,09;0;0;0;0;0;0;0;1,2;29,7;109,5;18,3;2,1;1,89;1,59;0,06;0;0;0;0;0;397,2;0,39;0,45;5,28;0,07;0,54;105,9;0;15,9;;;;;;;;
CER53;298;Almojabana maiz blanco trillado y queso;40;1 unidad;108;12,04;5,2;4,92;0;0;0;0;0;0;0;128;133,2;0;0;0;0,88;0;0;0;0;0;0;0;0;0,03;0,16;0,36;0;0;0;0;0;;;;;;;;
CER54;299;Brownies preparados comercialmente;25;1 unidad;108;15,98;1,2;4,08;1,06;2,24;0,57;4,25;0;0;0,53;7,25;25,25;78;37,25;7,75;0,58;0,18;0,06;0,03;0;0;0;0;1,5;0,07;0,05;0,43;0,14;0,01;5,25;0,02;0;;;;;;;;
CER55;300;Croissants mantequilla;25;1/2 unidad pequeña;108;11,45;2,05;5,25;2,92;1,38;0,27;16,75;0;0;0,65;9,25;26,25;186;29,5;4;0,5;0,19;0,02;0,08;0;0;0;0;46,5;0,1;0,06;0,55;0,22;0,02;0,16;0,04;0;;;;;;;;
CER56;301;Croissants queso;25;1/2 unidad pequeña;108;11,75;2,3;5,23;2,66;1,63;0,6;14,25;0;0;0,65;13,25;32,5;138,75;33;6;0,55;0,24;0,03;0,09;0;0;0;0;49,25;0,13;0,08;0,55;0,21;0,02;18,5;0,08;0;;;;;;;;
CER57;302;Donas cubiertas con chocolate;25;1 unidad;108;12;1,25;7,75;2,03;4,38;0,95;15,25;0;0;0,5;8,75;50,5;107,25;49;10;0,63;0,15;0,07;0,1;0;0;0;0;2,75;0,03;0,03;0,33;0,11;0,01;7,25;0,06;0;;;;;;;;
CER58;303;Donas azucaradas o glaseadas;25;1 unidad;108;12,7;1,3;5,73;1,48;3,18;0,73;8;0;0;0,38;15;29,25;100,5;25,5;4,25;0,28;0,11;0,03;0,08;0;0;0;0;0,75;0,06;0,05;0,38;0,11;0,01;11,5;0,06;0;;;;;;;;
CER59;304;Galletas integrales;25;4 cuadritos;108;17,15;2,2;4,3;0,98;1,47;1,65;0;0;0;2,63;12,5;73,75;164,75;74,25;24,75;0,78;0,54;0,11;0,56;3,68;0,28;0;0;0;0,05;0,03;1,13;0,2;0,05;10;0;0;;;;;;;;
CER60;305;Galletas saltines y saltinas o de soda;25;6 cuadritos;108;17,88;2,3;2,95;0,73;1,61;0,42;0;0;0;0,75;29,75;26,25;325,5;32;6,75;1,35;0,19;0,05;0,18;2,93;0,39;0;0;0;0,14;0,12;1,3;0,12;0,01;31;0;0;;;;;;;;
CER61;306;Galletas saltines y saltinas o de soda sin sal;25;6 cuadritos;108;17,88;2,3;2,95;0,73;1,61;0,42;0;0;0;0,75;29,75;26,25;159;181;6,75;1,35;0,19;0,05;0,18;0;0;0;0;0;0,14;0,12;1,3;0,12;0,01;31;0;0;;;;;;;;
CER62;307;Galletas saltinas nabisco;25;6 cuadritos;108;17,78;2,73;2,55;0,46;1,46;0,43;0;0;0;0,65;48,25;24,75;317,5;24,75;5,25;1,3;0;0;0;0;0;0;0;0;0,08;0,11;1,1;0;0,01;0,21;0;0;;;;;;;;
